Tactic ID,Tactic Name,Covered T-IDs,ATT&CK v16 Total,Depth %,Gap,Covered T-ID List
TA0043,Reconnaissance,3,10,30,7,"T1589; T1590; T1595"
TA0042,Resource Development,0,8,0,8,""
TA0001,Initial Access,1,10,10,9,"T1190"
TA0002,Execution,1,14,7.1,13,"T1059"
TA0003,Persistence,0,19,0,19,""
TA0004,Privilege Escalation,1,14,7.1,13,"T1068"
TA0005,Defense Evasion,2,43,4.7,41,"T1078; T1548"
TA0006,Credential Access,5,17,29.4,12,"T1003; T1110; T1552; T1558; T1649"
TA0007,Discovery,8,32,25,24,"T1046; T1069; T1083; T1087; T1135; T1482; T1526; T1592"
TA0008,Lateral Movement,4,9,44.4,5,"T1021; T1210; T1550; T1570"
TA0009,Collection,1,17,5.9,16,"T1005"
TA0010,Exfiltration,1,9,11.1,8,"T1537"
TA0011,Command and Control,0,18,0,18,""
TA0040,Impact,0,14,0,14,""
